Ordem;TIPO;Emissão;Data Inicio;Data Término;Médio;Item;Referência;Estabelecimento;Linha;Tipo Controle;Grupo Estoque;Tipo Ordem;Custeio Mat.;Custeio GGF;Custeio MOB;Moeda;Conta Contabil;Centro de Custo;Qtde. Original;Qtde. Produzida;Data;Esp;Tipo Transação;Deposito;Série;Documento;Seq. Operação;Qtde Requisição/Reporte;Rendimentos kg;Rendimentos %;Valor Material;Valor GGF;Valor MOB;Item2;Referencia;Unidade Medida;NMB;Descrição;Preco Fiscal;Data Requisição/Reporte;Funcionário;Centro Custo;Grupo Maq;Hr. Reporte;Tempo Homem/Máquina;GGF/MOB Batch;Mob Dir;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;6,2293;0,0000;0,00%;77,8800;0,0000;0,0000;30003269;;KG;3;JINHAI JH8152 SIS;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;4,7707;0,0000;0,00%;59,6400;0,0000;0,0000;30003269;;KG;3;JINHAI JH8152 SIS;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;504,0000;0,0000;0,00%;5.638,7500;0,0000;0,0000;30003270;;KG;3;HAI-SIS JH-8291;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;14,0000;0,0000;0,00%;282,9200;0,0000;0,0000;35000401;;kg;3;EVERNOX 10;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;298,7094;0,0000;0,00%;3.115,6400;0,0000;0,0000;35000981;;KG;3;CALSOL 5550;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;149,2906;0,0000;0,00%;1.557,1500;0,0000;0,0000;35000981;;KG;3;CALSOL 5550;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;452,3077;0,0000;0,00%;2.938,4400;0,0000;0,0000;36000113;;kg;3;RESIDHERE ES100S (Big bag);0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;141,0000;0,0000;0,00%;916,0100;0,0000;0,0000;36000113;;kg;3;RESIDHERE ES100S (Big bag);0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;232,6923;0,0000;0,00%;1.511,7000;0,0000;0,0000;36000113;;kg;3;RESIDHERE ES100S (Big bag);0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;140,0000;0,0000;0,00%;780,5600;0,0000;0,0000;36000324;;KG;4;PINUSROSIN® WW/X;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;22/03/2024;REQ;Sai;ALM;;64626;1;700,0000;0,0000;0,00%;5.291,4100;0,0000;0,0000;36000373;;KG;3;PINUSTACK® 535;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;02/04/2024;ACA;Ent;DCQ;;64626;1;2.905,0000;0,0000;0,00%;0,0000;0,0000;0,0000;26000608;;KG;1;CQ-3060 BULK;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;02/04/2024;REQ;Sai;ALM;;AJUSTE;1;35,0000;0,0000;0,00%;0,0000;0,0000;0,0000;35000981;;KG;3;CALSOL 5550;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.626;MAT;20/03/2024;23/03/2024;26/03/2024;31/03/2024;26000608;;200;2;2 - Total;30;Interna;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;2.800,0000;2.905,0000;02/04/2024;REQ;Sai;ALM;;AJUSTE;1;70,0000;0,0000;0,00%;0,0000;0,0000;0,0000;36000113;;kg;3;RESIDHERE ES100S (Big bag);0,0000;;;;;0,0000;0,0000;0,0000;;;
